Име,Сигнатура,14.01.2012,13.01.2012,12.01.2012,11.01.2012,10.01.2012,09.01.2012,08.01.2012,07.01.2012,06.01.2012,05.01.2012,04.01.2012,03.01.2012,02.01.2012,01.01.2012,31.12.2011,30.12.2011,29.12.2011,28.12.2011,27.12.2011,26.12.2011,25.12.2011,24.12.2011,23.12.2011,22.12.2011,21.12.2011,20.12.2011,19.12.2011,18.12.2011,17.12.2011,16.12.2011,15.12.2011,14.12.2011,13.12.2011,12.12.2011,11.12.2011,10.12.2011,09.12.2011,08.12.2011,07.12.2011,06.12.2011,05.12.2011,04.12.2011,03.12.2011,02.12.2011,01.12.2011,30.11.2011,29.11.2011,28.11.2011,27.11.2011,26.11.2011,25.11.2011,24.11.2011,23.11.2011,22.11.2011,21.11.2011,20.11.2011,19.11.2011,18.11.2011,17.11.2011,16.11.2011,15.11.2011,14.11.2011,13.11.2011,12.11.2011,11.11.2011,10.11.2011,09.11.2011,08.11.2011,07.11.2011,06.11.2011,05.11.2011,04.11.2011,03.11.2011,02.11.2011,01.11.2011,31.10.2011,30.10.2011,29.10.2011
Плевен,BG-15,0,1,8,5,2,9,5,3,12,5,12,15,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Разград,BG-17,0,0,0,1,3,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Хасково,BG-26,0,3,4,4,4,7,5,4,8,8,7,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Шумен,BG-27,0,0,4,2,6,3,2,3,4,3,6,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Силистра,BG-19,0,0,1,2,3,3,3,9,3,2,2,3,3,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,2,3,0,5,0,1,3,1,1,2,2,1,0,0,0,1,3,2,4,0,0,4,3,2,3,1,0,2,0,0,0,3,0,0,4,1,0,4,2,0,0,1,1,8,0,0,1,1
Ямбол,BG-28,0,0,0,2,2,6,3,1,0,4,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Велико Търново,BG-04,0,0,9,5,6,3,2,4,3,2,4,4,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Габрово,BG-07,0,1,4,1,1,1,3,6,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Пловдив,BG-16,0,6,15,19,22,25,20,13,24,29,17,19,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Смолян,BG-21,0,1,2,4,2,1,0,0,4,5,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
София,BG-23,0,2,0,3,2,2,3,3,2,1,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
София(ст.),BG-22,0,19,37,42,42,53,35,27,48,61,46,57,25,20,8,9,13,8,19,4,4,4,11,12,15,10,14,5,6,21,12,10,13,11,3,5,10,14,11,11,10,7,8,6,11,10,8,6,4,8,10,10,7,12,8,7,8,10,8,9,17,14,3,4,15,12,6,15,8,1,6,8,15,15,7,0,0,0
Видин,BG-05,0,0,2,1,2,1,0,1,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Враца,BG-06,0,2,2,3,3,6,4,1,3,2,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Кюстендил,BG-10,0,0,3,7,3,5,1,1,3,6,7,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Стара Загора,BG-24,0,0,6,4,6,6,5,6,5,12,7,6,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Бургас,BG-02,1,4,7,5,5,9,13,11,9,8,8,9,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ловеч,BG-11,0,0,4,7,5,1,4,2,2,4,4,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Монтана,BG-12,0,2,2,4,3,2,2,4,2,2,3,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Пазарджик,BG-13,0,3,7,6,5,7,3,8,5,8,5,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Русе,BG-18,0,2,3,4,9,8,4,3,4,3,8,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Търговище,BG-25,0,2,1,5,0,2,3,0,3,3,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Благоевград,BG-01,0,3,6,6,9,8,4,7,12,8,9,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Варна,BG-03,0,2,18,18,18,13,15,12,11,22,11,15,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Перник,BG-14,0,1,1,0,2,1,1,0,3,2,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Сливен,BG-20,0,6,11,11,8,10,7,6,6,10,9,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Добрич,BG-08,0,1,3,5,4,2,3,1,8,3,1,2,2,1,0,0,0,0,11,4,0,3,3,3,1,4,3,2,4,4,2,1,3,6,1,2,3,3,1,1,3,2,4,2,1,3,2,5,2,1,2,2,7,5,2,3,2,0,6,5,2,4,1,1,6,5,2,5,2,2,4,1,3,2,5,0,0,0
Кърджали,BG-09,0,0,3,2,2,4,0,0,6,3,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0